serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
651;Гидрологический пост;2;ФГБУ Северное УГМС;СТОРОЖЕВСК - Р.BЫЧЕГДА;0;;6156052200;70182;;61.93;52.33;;111;Коми ЦГМС;1;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
1135;Озерный гидрометеорологический пост;2;ФГБУ Северо-Западное УГМС;СТОРОЖНО - ОЗ.ЛАДОЖСКОЕ;0;72916;6032032370;72916;;60.53;32.62;;147;Санкт-Петербургский ЦГМС;1;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
7917;Авиационная метеорологическая станция;4;ФГБУ Авиаметтелеком Росгидромета;СТРЕЖЕВОЙ;0;23952;;;;60.71;77.66;;170;ФГБУ Зап-Сиб. филиал Авиаметтелекома  Росгидромета;4;0;0;0;0;0;0;0;0;1;;9999-12-31 00:00:00
4042;Пристанционный гидрологический пост;3;ФГБУ Среднесибирское УГМС;СТРЕЛКА (ГП ПРИ СТРЕЛКА М) - Р.ЕНИСЕЙ;0;09074;;09074;;58.08;93.00;;124;Отсутствует;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
3747;Метеорологическая станция;2;ФГБУ Среднесибирское УГМС;СТРЕЛКА - Р.ЕНИСЕЙ;0;29274;5819300;09074;;58.08;93.00;;124;Отсутствует;3;0;0;0;0;0;0;0;0;1;;9999-12-31 00:00:00
4043;Пристанционный гидрологический пост;1;ФГБУ Среднесибирское УГМС;СТРЕЛКА ЧУНЯ (ГП ПРИ СТРЕЛКА ЧУНЯ М) - Р.ЧУНЯ;0;09392;;09392;;61.75;102.80;;124;Эвенкийский ЦГМС;0;0;0;2;0;0;0;0;0;0;;9999-12-31 00:00:00
3748;Метеорологическая станция;2;ФГБУ Среднесибирское УГМС;СТРЕЛКА ЧУНЯ - Р.ЧУНЯ;1;24802;6170271;09392;;61.75;102.80;;124;Эвенкийский ЦГМС;2;0;0;0;0;2;0;0;0;1;;9999-12-31 00:00:00
320;Гидрологический пост;2;ФГБУ Центральное УГМС;СТРЕЛКОВСКАЯ ФАБРИКА - Р.ПАХРА;0;75447;5528037380;75447;;55.47;37.63;;150;Отсутствует;1;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
10240;Метеорологический пост;3;ФГБУ Северо-Западное УГМС;СТРЕЛЬНА ВНС;0;;5951030030;;;59.51;30.03;;;Санкт-Петербургский ЦГМС;4;;;;;;;;;;;
1035;Гидрологический пост;1;ФГБУ Северо-Западное УГМС;СТРЕЛЬЦОВО - Р.БОЛОТНИЦА;0;72744;;72744;;60.60;29.27;;147;Санкт-Петербургский ЦГМС;0;0;0;4;0;0;0;0;0;0;;9999-12-31 00:00:00
2966;Гидрологический пост;2;ФГБУ Обь-Иртышское УГМС;СТРЕХНИНО - р.Карасуль;0;;5609068340;11468;;56.1425;69.53694444444444;;172;Тюменский ЦГМС;1;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
785;Метеорологическая станция;2;ФГБУ Северо-Западное УГМС;СТРУГИ КРАСНЫЕ;1;26264;5822910;;;58.160;29.060;;160;Псковский ЦГМС;3;0;0;0;0;1;0;0;0;1;;
3230;Гидрологический пост;1;ФГБУ Уральское УГМС;СУББОТИНО - Р.МУЛЯНКА;0;76253;;76253;;57.93;56.18;;159;Пермский ЦГМС;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
179;Метеорологическая станция;2;ФГБУ Центральное УГМС;СУВОРОВ;0;27717;5413650;;;54.13;36.53;;171;Тульский ЦГМС;3;0;0;0;0;3;0;0;0;0;;9999-12-31 00:00:00
8788;Гидрологический пост;1;ФГБУ Крымское УГМС;СУВОРОВО - Р.КАЧА;0;81581;4444033390;81581;;44.733333333333334;33.65;;182;Отсутствует;1;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
2520;Гидрологический пост;1;ФГБУ Северо-Кавказское УГМС;СУВОРОВСКАЯ - р. Дарья;0;84129;4412042390;84129;;44.20;42.65;;126;Ставропольский ЦГМС;1;0;0;4;0;0;0;0;0;0;;9999-12-31 00:00:00
